Variable:,tasmin
,Annual,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
India,18.30,10.33,12.31,16.50,20.70,23.76,24.20,23.10,22.80,21.79,18.82,14.02,10.91
"Madhya Pradesh",18.89,10.13,12.16,17.11,22.21,26.54,26.27,23.70,23.25,22.32,18.76,13.46,10.42
Jharkhand,18.88,9.96,12.33,16.94,21.77,24.78,25.28,24.03,23.98,23.15,19.99,13.91,10.07
"Andaman and Nicobar",23.91,22.85,22.57,23.16,24.45,24.81,24.55,24.31,24.40,24.01,23.85,24.23,23.65
Chhattisgarh,19.55,12.08,14.43,18.55,22.78,26.24,25.45,23.08,23.15,22.62,19.76,14.64,11.59
"Administrative unit not available",3.46,-6.92,-5.71,-0.68,3.66,7.18,10.59,13.45,12.98,8.87,3.69,-1.65,-4.64
Chandigarh,16.77,5.61,7.91,13.00,18.36,23.19,25.67,25.23,24.72,22.77,17.20,10.26,6.73
"Administrative unit not available",1.75,-8.88,-7.51,-2.59,1.88,5.36,8.92,11.99,11.48,7.24,2.02,-3.14,-6.37
"Daman and Diu",21.10,14.15,15.21,18.81,22.00,25.26,26.70,25.35,24.90,23.86,22.12,18.81,15.73
"Administrative unit not available",-6.36,-17.95,-16.68,-11.07,-6.41,-3.38,1.08,4.34,4.20,0.04,-5.62,-11.15,-14.48
"Dadra and Nagar Haveli",20.22,13.57,14.71,18.58,22.10,24.98,25.05,23.59,23.46,22.68,21.13,17.61,14.86
"Administrative unit not available",-9.47,-21.96,-20.20,-14.50,-9.64,-6.23,-1.22,2.64,2.55,-2.16,-9.16,-15.41,-19.03
"Administrative unit not available",14.77,3.44,5.78,10.75,15.88,20.77,23.57,24.41,23.83,20.95,14.81,8.12,4.42
"Administrative unit not available",4.39,-5.67,-4.56,0.23,4.61,8.17,11.44,14.11,13.52,9.52,4.67,-0.49,-3.55
Bihar,19.24,9.34,11.36,16.09,21.29,24.69,25.91,25.50,25.50,24.67,21.33,14.53,10.23
"Administrative unit not available",0.35,-10.31,-9.13,-3.91,0.52,3.78,7.54,10.17,9.87,6.06,0.89,-4.50,-7.51
"Arunachal Pradesh",13.76,4.95,7.54,10.69,13.77,16.79,19.55,20.36,20.39,19.13,15.81,9.91,5.90
"Administrative unit not available",3.09,-7.26,-6.09,-1.10,3.27,6.78,10.17,13.02,12.54,8.43,3.38,-1.86,-4.91
"West Bengal",20.32,11.72,14.08,18.72,22.73,24.80,25.42,25.05,25.21,24.66,22.27,16.46,12.37
Maharashtra,19.83,13.99,15.54,19.40,23.08,25.45,24.27,22.50,22.31,21.60,19.85,16.01,13.74
Lakshadweep,23.91,22.66,22.86,23.92,24.98,25.27,24.41,24.15,24.16,24.03,23.91,23.39,23.07
"Administrative unit not available",6.63,-3.80,-2.30,2.43,6.96,10.96,14.18,16.25,15.68,12.03,6.88,1.51,-1.78
"Administrative unit not available",11.11,0.36,2.14,7.12,11.92,16.23,19.14,20.57,20.15,16.97,11.26,5.10,1.83
Kerala,21.63,19.81,20.61,22.06,23.21,23.29,22.17,21.59,21.80,21.88,21.73,21.19,20.17
Karnataka,19.96,16.37,17.98,20.52,22.50,22.86,21.77,21.05,21.01,20.60,20.23,18.08,16.44
"Himachal Pradesh",2.86,-7.47,-6.09,-1.24,3.29,7.12,10.28,11.89,11.60,8.57,3.28,-2.24,-5.23
Haryana,18.40,6.63,9.31,14.76,20.57,25.66,27.96,26.85,25.98,24.29,18.82,11.82,7.63
Gujarat,20.20,11.49,13.53,18.17,22.42,25.67,26.68,25.29,24.56,23.54,21.07,16.61,13.03
Uttarakhand,7.81,-1.89,-0.39,3.98,8.69,12.76,14.98,15.64,15.40,13.23,8.20,2.85,-0.26
Goa,21.54,17.90,18.69,21.27,23.56,24.69,23.47,22.76,22.82,22.31,22.12,20.08,18.71
"Uttar Pradesh",18.82,8.15,10.42,15.50,21.20,25.85,27.51,25.96,25.45,24.21,19.47,12.88,8.80
Nagaland,14.68,6.29,8.36,11.33,14.81,17.58,20.03,20.50,20.67,19.76,17.09,11.72,7.68
Mizoram,17.82,10.23,11.44,15.59,19.12,20.99,21.83,22.11,22.07,21.81,20.07,15.81,12.34
Meghalaya,17.62,9.45,11.19,15.27,18.68,20.41,22.13,22.81,22.99,22.28,19.90,14.96,11.05
Puducherry,23.81,21.07,21.83,23.42,25.41,26.24,25.71,24.93,24.56,24.37,23.87,22.59,21.59
Delhi,18.74,7.05,9.71,15.26,21.18,26.11,28.21,26.87,26.08,24.42,19.22,12.28,7.94
Manipur,15.19,7.06,8.61,12.11,15.86,18.27,19.99,20.54,20.49,19.87,17.65,12.71,8.72
Assam,18.35,9.78,11.90,15.49,18.94,21.27,23.45,24.06,24.26,23.40,20.66,15.34,11.21
"Andhra Pradesh",21.81,16.97,18.78,21.47,24.53,26.47,25.32,23.74,23.69,23.25,21.89,18.78,16.66
Tripura,20.02,11.15,13.21,18.16,21.91,23.60,24.63,24.89,24.95,24.65,22.52,17.19,12.97
"Tamil Nadu",22.36,19.51,20.28,21.92,24.12,24.72,24.17,23.47,23.24,23.04,22.47,21.20,20.05
Sikkim,-0.41,-10.26,-8.51,-4.17,-0.04,3.32,6.64,7.97,7.74,5.69,0.50,-5.51,-8.83
Rajasthan,18.80,7.52,10.23,15.88,21.64,26.40,27.73,26.21,25.21,23.77,19.03,12.78,8.69
Punjab,17.30,5.36,7.88,13.29,18.77,23.97,26.88,26.70,26.08,23.74,17.61,10.36,6.41
Orissa,20.23,13.30,15.73,19.48,22.93,25.43,25.17,23.52,23.60,23.23,21.04,16.19,12.96
